O*NET-SOC Code,risacLetters
25-2032.00,S
25-2051.00,SA
25-2055.00,S
25-2056.00,SI
25-2057.00,SI
25-2058.00,SI
25-2059.01,SR
25-3011.00,S
25-3021.00,SA
25-3031.00,SC
25-3041.00,S
25-4011.00,CI
25-4012.00,CE
25-4013.00,RC
25-4022.00,CS
25-4031.00,CS
25-9021.00,SI
25-9031.00,SE
25-9042.00,SC
25-9043.00,SC
25-9044.00,SC
27-1011.00,AE
27-1012.00,AR
27-1013.00,AR
27-1014.00,AR
27-1021.00,AR
27-1022.00,AR
27-1023.00,RA
27-1024.00,A
27-1025.00,AR
27-1026.00,AR
27-1027.00,A
27-2011.00,AS
27-2012.00,AE
27-2012.03,EC
27-2012.04,EA
27-2012.05,EC
27-2021.00,RE
27-2022.00,SE
27-2023.00,EC
27-2031.00,AR
27-2032.00,AS
27-2041.00,AE
27-2042.00,AE
27-2091.00,AE
27-3011.00,AE
27-3023.00,AI
27-3031.00,EA
27-3041.00,AC
27-3042.00,CA
27-3043.00,AE
27-3043.05,AI
27-3091.00,CA
27-3092.00,C
27-4011.00,RC
27-4012.00,CR
27-4014.00,RA
27-4015.00,RC
27-4021.00,RA
27-4031.00,AR
27-4032.00,AC
29-1011.00,SR
29-1021.00,IR
29-1022.00,IR
29-1023.00,IR
29-1024.00,RI
29-1031.00,SI
29-1041.00,IS
29-1051.00,IS
29-1071.00,SI
29-1071.01,SC
29-1081.00,IR
29-1122.00,SI
29-1122.01,SR
29-1123.00,SI
29-1124.00,RS
29-1125.00,SI
29-1126.00,SR
29-1127.00,SI
29-1128.00,RI
29-1129.01,SA
29-1129.02,SA
29-1131.00,RI
29-1141.00,SI
29-1141.01,SI
29-1141.02,IS
29-1141.03,SI
29-1141.04,SI
29-1151.00,SR
29-1161.00,SI
29-1171.00,IS
29-1181.00,IS
29-1211.00,IS
29-1212.00,IR
29-1213.00,IR
29-1214.00,IS
29-1215.00,SI
29-1216.00,IS
29-1217.00,IS
29-1218.00,IS
29-1221.00,SI
29-1222.00,IR
29-1223.00,IS
29-1224.00,IC
29-1229.01,IS
29-1229.02,SI
29-1229.03,IR
29-1229.04,IS
29-1229.05,IS
29-1229.06,IS
29-1241.00,IS
29-1242.00,IR
29-1243.00,IS
29-1291.00,SI
29-1292.00,SR
29-1299.01,IS
29-1299.02,IR
29-2011.00,IR
29-2011.01,IR
29-2011.02,IR
29-2011.04,IR
29-2012.00,RI
29-2012.01,RI
29-2031.00,RI
29-2032.00,RC
29-2033.00,RI
29-2034.00,RC
29-2035.00,RC
29-2036.00,IC
29-2042.00,SR
29-2043.00,SR
29-2051.00,SR
29-2052.00,CR
29-2053.00,SI
29-2055.00,RC
29-2056.00,RI
29-2057.00,RC
29-2061.00,SR
29-2072.00,CI
29-2081.00,CR
29-2091.00,RI
29-2092.00,SI
29-2099.01,IR
29-2099.05,RI
29-2099.08,SI
29-9021.00,CI
29-9091.00,SR
29-9092.00,IS
29-9093.00,RC
29-9099.01,SI
31-1121.00,SR
31-1122.00,SC
31-1131.00,SR
31-1132.00,RC
31-1133.00,SI
31-2011.00,SC
31-2012.00,SR
31-2021.00,SR
31-2022.00,SR
31-9011.00,SR
31-9091.00,CR
31-9092.00,CS
31-9093.00,RC
31-9094.00,CS
31-9095.00,CE
31-9096.00,RI
31-9097.00,RC
31-9099.01,SC
31-9099.02,RC
33-1011.00,EC
33-1012.00,EC
33-1021.00,ER
33-1091.00,EC
33-2011.00,R
33-2021.00,RC
33-2022.00,RC
33-3011.00,RC
33-3012.00,RC
33-3021.00,IC
33-3021.02,CR
33-3021.06,IC
33-3031.00,RC
33-3041.00,RC
33-3051.00,RC
33-3051.04,CE
33-3052.00,RC
33-9011.00,RC
33-9021.00,CE
33-9031.00,CE
33-9032.00,RC
33-9091.00,RC
33-9092.00,RS
33-9093.00,CR
33-9094.00,SC
33-9099.02,CE
35-1011.00,ER
35-1012.00,EC
35-2011.00,RC
35-2012.00,RC
35-2013.00,RC
35-2014.00,RC
35-2015.00,RC
35-2021.00,RC
35-3011.00,RC
35-3023.00,RC
35-3023.01,RC
35-3031.00,SC
35-3041.00,RS
35-9011.00,RC
35-9021.00,RC
35-9031.00,SE
37-1011.00,EC
37-1012.00,EC
37-2011.00,RC
37-2012.00,RC
37-2021.00,RC
37-3011.00,RC
37-3012.00,RC
37-3013.00,RC
39-1013.00,EC
39-1014.00,EC
39-1022.00,EC
39-2011.00,RS
39-2021.00,RS
39-3011.00,CE
39-3012.00,CE
39-3021.00,RC
39-3031.00,SC
39-3091.00,CS
39-3092.00,AC
39-3093.00,CR
39-4011.00,RC
39-4012.00,RC
39-4021.00,RS
39-4031.00,CE
39-5011.00,RC
39-5012.00,RC
39-5091.00,AR
39-5092.00,RC
39-5093.00,RS
39-5094.00,RS
39-6011.00,RC
39-6012.00,SE
39-7011.00,SE
39-7012.00,SE
39-9011.00,SC
39-9011.01,SA
39-9031.00,SR
39-9032.00,SE
39-9041.00,SC
41-1011.00,EC
41-1012.00,EC
41-2011.00,CE
41-2012.00,CE
41-2021.00,CE
41-2022.00,CR
41-2031.00,EC
41-3011.00,EC
41-3021.00,EC
41-3031.00,EC
41-3041.00,EC
41-3091.00,EC
41-4011.00,EC
41-4011.07,EC
41-4012.00,EC
41-9011.00,EC
41-9012.00,AR
41-9021.00,EC
41-9022.00,EC
41-9031.00,EC
41-9041.00,EC
41-9091.00,EC
43-1011.00,EC
43-2011.00,CR
43-2021.00,CS
43-3011.00,CE
43-3021.00,C
43-3031.00,CE
43-3041.00,CE
43-3051.00,CE
43-3061.00,CE
43-3071.00,CE
43-4011.00,CE
43-4021.00,CE
43-4031.00,CE
43-4041.00,CE
43-4051.00,CE
43-4061.00,CS
43-4071.00,C
43-4081.00,CS
43-4111.00,CS
43-4121.00,CS
43-4131.00,CE
43-4141.00,CE
43-4151.00,CE
43-4161.00,CE
43-4171.00,CE
43-4181.00,CS
43-5011.00,CE
43-5011.01,CE
43-5021.00,CR
43-5031.00,CR
43-5032.00,CR
43-5041.00,CR
43-5051.00,CR
43-5052.00,CR
43-5053.00,CR
43-5061.00,CE
43-5071.00,CR
43-5111.00,CR
43-6011.00,CE
43-6012.00,CE
43-6013.00,CS
43-6014.00,CE
43-9021.00,CR
43-9022.00,C
43-9031.00,CA
43-9041.00,CE
43-9051.00,CR
43-9061.00,C
43-9071.00,CR
43-9081.00,CA
43-9111.00,CI
45-1011.00,ER
45-2011.00,RC
45-2021.00,RC
45-2041.00,RC
45-2091.00,RC
45-2092.00,RC
45-2093.00,R
45-3031.00,RC
45-4011.00,RC
45-4021.00,RC
45-4022.00,RC
45-4023.00,CR
47-1011.00,EC
47-1011.03,RE
47-2011.00,RC
47-2021.00,RC
47-2022.00,R
47-2031.00,RC
47-2041.00,RC
47-2042.00,RC
47-2043.00,RC
47-2044.00,RC
47-2051.00,RC
47-2053.00,RC
47-2061.00,RC
47-2071.00,RC
47-2072.00,RC
47-2073.00,RC
47-2081.00,RC
47-2082.00,RC
47-2111.00,RC
47-2121.00,RC
47-2131.00,RC
47-2132.00,RC
47-2141.00,RC
47-2142.00,RC
47-2151.00,RC
47-2152.00,RC
47-2152.04,RC
47-2161.00,RC
47-2171.00,RC
47-2181.00,RC
47-2211.00,RC
47-2221.00,RC
47-2231.00,RC
47-3011.00,RC
47-3012.00,RC
47-3013.00,RC
47-3014.00,RC
47-3015.00,RC
47-3016.00,RC
47-4011.00,RC
47-4011.01,CR
47-4021.00,RC
47-4031.00,RC
47-4041.00,RC
47-4051.00,RC
47-4061.00,RC
47-4071.00,RC
47-4091.00,RC
47-4099.03,RC
47-5011.00,RC
47-5012.00,RC
47-5013.00,RC
47-5022.00,RC
47-5023.00,RC
47-5032.00,RC
47-5041.00,RC
47-5043.00,RC
47-5044.00,RC
47-5051.00,RC
47-5071.00,RC
47-5081.00,RC
49-1011.00,EC
49-2011.00,RC
49-2021.00,RC
49-2022.00,RC
49-2091.00,RC
49-2092.00,RC
49-2093.00,RC
49-2094.00,RC
49-2095.00,RC
49-2096.00,RC
49-2097.00,RC
49-2098.00,RC
49-3011.00,RC
49-3021.00,RC
49-3022.00,RC
49-3023.00,RC
49-3031.00,RC
49-3041.00,RC
49-3042.00,RC
49-3043.00,RC
49-3051.00,RC
49-3052.00,RC
49-3053.00,RC
49-3091.00,RC
49-3092.00,RC
49-3093.00,RC
49-9011.00,RC
49-9012.00,RC
49-9021.00,RC
49-9031.00,RC
49-9041.00,RC
49-9043.00,RC
49-9044.00,RC
49-9045.00,RC
49-9051.00,RC
49-9052.00,RC
49-9061.00,RC
49-9062.00,RC
49-9063.00,RA
49-9064.00,RC
49-9071.00,RC
49-9081.00,RC
49-9091.00,RC
49-9092.00,RI
49-9094.00,RC
49-9095.00,RC
49-9096.00,RC
49-9097.00,RC
49-9098.00,RC
49-9099.01,RC
51-1011.00,EC
51-2011.00,RC
51-2021.00,RC
51-2022.00,RC
51-2023.00,RC
51-2031.00,RC
51-2041.00,RC
51-2051.00,RC
51-2061.00,RC
51-2092.00,RC
51-3011.00,RC
51-3021.00,RC
51-3022.00,RC
51-3023.00,RC
51-3091.00,RC
51-3092.00,RC
51-3093.00,RC
51-4021.00,RC
51-4022.00,RC
51-4023.00,RC
51-4031.00,RC
51-4032.00,RC
51-4033.00,RC
51-4034.00,RC
51-4035.00,RC
51-4041.00,RC
51-4051.00,RC
51-4052.00,RC
51-4061.00,RC
51-4062.00,RC
51-4071.00,RC
51-4072.00,RC
51-4081.00,RC
51-4111.00,RC
51-4121.00,RC
51-4122.00,RC
51-4191.00,RC
51-4192.00,RC
51-4193.00,RC
51-4194.00,RC
51-5111.00,CR
51-5112.00,CR
51-5113.00,RC
51-6011.00,RC
51-6021.00,RC
51-6031.00,RC
51-6041.00,RA
51-6042.00,RC
51-6051.00,RC
51-6052.00,RA
51-6061.00,RC
51-6062.00,RC
51-6063.00,RC
51-6064.00,RC
51-6091.00,RC
51-6092.00,RA
51-6093.00,RA
51-7011.00,RC
51-7021.00,RC
51-7031.00,RC
51-7032.00,RC
51-7041.00,RC
51-7042.00,RC
51-8011.00,RC
51-8012.00,RC
51-8013.00,RC
51-8013.03,RC
51-8013.04,RC
51-8021.00,RC
51-8031.00,RC
51-8091.00,RC
51-8092.00,RC
51-8093.00,RC
51-8099.01,RC
51-9011.00,RC
51-9012.00,RC
51-9021.00,RC
51-9022.00,RC
51-9023.00,RC
51-9031.00,RC
51-9032.00,RC
51-9041.00,RC
51-9051.00,RC
51-9061.00,RC
51-9071.00,RA
51-9071.06,RC
51-9081.00,RI
51-9082.00,RI
51-9083.00,RC
51-9111.00,RC
51-9123.00,RA
51-9124.00,RC
51-9141.00,RC
51-9151.00,RC
51-9161.00,RC
51-9162.00,CR
51-9191.00,RC
51-9192.00,RC
51-9193.00,RC
51-9194.00,RC
51-9195.00,RC
51-9195.03,RA
51-9195.04,RC
51-9195.05,RC
51-9196.00,RC
51-9197.00,RC
51-9198.00,RC
53-1041.00,EC
53-1042.00,EC
53-1042.01,EC
53-1043.00,ER
53-1044.00,EC
53-2011.00,RC
53-2012.00,RC
53-2021.00,CR
53-2022.00,CR
53-2031.00,CR
53-3011.00,RS
53-3031.00,RC
53-3032.00,RC
53-3033.00,RC
53-3051.00,RC
53-3052.00,RC
53-3053.00,RC
53-3054.00,RC
53-4011.00,RC
53-4013.00,RC
53-4022.00,RC
53-4031.00,RC
53-4041.00,RC
53-5011.00,RC
53-5021.00,RC
53-5022.00,RC
53-5031.00,RC
53-6011.00,RC
53-6021.00,RC
53-6031.00,RC
53-6032.00,RC
53-6041.00,RC
53-6051.00,CR
53-6051.01,CR
53-6051.07,RC
53-6061.00,CS
53-7011.00,RC
53-7021.00,RC
53-7031.00,RC
53-7041.00,RC
53-7051.00,RC
53-7061.00,RC
53-7062.00,RC
53-7062.04,RC
53-7063.00,RC
53-7064.00,CR
53-7065.00,CR
53-7071.00,RC
53-7072.00,RC
53-7073.00,RC
53-7081.00,RC
53-7121.00,RC
